event,model_lang,total_entities,person,organization,location,country,date
4,gemma_en,15,1,3,1,1,5
2,gemma_en,17,1,5,0,4,5
5,gemma_en,14,0,5,0,2,2
6,gemma_en,27,0,9,2,4,6
2,gemma_en,12,1,4,1,3,1
5,gemma_en,16,3,2,0,2,4
5,gemma_en,22,1,7,1,4,4
2,gemma_en,9,0,5,1,0,1
3,gemma_en,12,0,3,0,2,4
2,gemma_en,17,3,6,1,1,4
5,gemma_es,25,2,10,2,1,5
7,gemma_es,25,2,3,1,8,4
3,gemma_es,17,2,6,0,2,4
8,gemma_es,32,3,12,1,4,4
1,gemma_es,7,0,1,1,2,2
5,gemma_es,21,3,5,2,1,5
2,gemma_es,23,2,12,0,2,5
2,gemma_es,9,0,5,1,0,1
6,gemma_es,14,1,2,1,2,2
6,gemma_es,23,1,10,0,1,5
3,qwen_en,17,0,8,2,1,3
4,qwen_en,17,1,1,1,7,3
2,qwen_en,13,1,6,0,2,2
1,qwen_en,15,3,7,0,1,3
0,qwen_en,10,0,2,4,2,2
3,qwen_en,22,5,6,0,4,4
3,qwen_en,23,3,10,2,2,3
3,qwen_en,12,1,1,2,2,3
4,qwen_en,13,1,3,1,2,2
2,qwen_en,24,2,7,2,2,9
4,qwen_es,16,1,6,1,1,3
0,qwen_es,16,2,1,1,6,6
1,qwen_es,13,1,7,0,1,3
1,qwen_es,17,2,3,1,7,3
0,qwen_es,10,1,2,2,4,1
1,qwen_es,27,4,5,2,7,8
0,qwen_es,14,1,5,1,2,5
1,qwen_es,1,0,0,0,0,0
0,qwen_es,8,0,2,1,1,4
1,qwen_es,15,1,5,1,3,4
5,llama_en,26,1,12,1,4,3
3,llama_en,24,2,7,1,4,7
4,llama_en,28,3,4,2,2,13
2,llama_en,21,4,0,3,4,8
0,llama_en,10,2,1,2,2,3
2,llama_en,21,2,3,1,4,9
3,llama_en,25,5,6,0,3,8
6,llama_en,19,0,7,1,1,4
3,llama_en,29,1,3,9,2,11
8,llama_en,26,4,8,1,2,3
0,llama_es,9,1,3,1,1,3
1,llama_es,11,2,3,0,2,3
1,llama_es,17,4,5,1,2,4
1,llama_es,17,2,3,1,6,4
2,llama_es,11,1,2,2,2,2
1,llama_es,17,5,1,0,3,7
2,llama_es,14,1,6,0,1,4
2,llama_es,12,1,2,3,2,2
0,llama_es,8,0,4,0,2,2
0,llama_es,19,2,5,2,1,9
