event,model_lang,model_count,gt_count,ratio
2012 India blackouts,gemma_en,13,10,1.3
2023 Pakistan blackout,gemma_en,11,9,1.2222
2022 Bangladesh blackout,gemma_en,8,3,2.6667
2021 Pakistan blackout,gemma_en,7,3,2.3333
2014 Bangladesh blackout,gemma_en,7,3,2.3333
2015 Pakistan blackout,gemma_en,14,3,4.6667
2019 Java blackout,gemma_en,10,4,2.5
2005 Java–Bali blackout,gemma_en,10,3,3.3333
2015 Turkey blackout,gemma_en,15,9,1.6667
2009 Brazil and Paraguay blackout,gemma_en,7,5,1.4
2012 India blackouts,gemma_es,9,10,0.9
2023 Pakistan blackout,gemma_es,12,9,1.3333
2022 Bangladesh blackout,gemma_es,7,3,2.3333
2021 Pakistan blackout,gemma_es,8,3,2.6667
2014 Bangladesh blackout,gemma_es,5,3,1.6667
2015 Pakistan blackout,gemma_es,11,3,3.6667
2019 Java blackout,gemma_es,5,4,1.25
2005 Java–Bali blackout,gemma_es,13,3,4.3333
2015 Turkey blackout,gemma_es,13,9,1.4444
2009 Brazil and Paraguay blackout,gemma_es,8,5,1.6
2012 India blackouts,qwen_en,9,10,0.9
2023 Pakistan blackout,qwen_en,9,9,1.0
2022 Bangladesh blackout,qwen_en,9,3,3.0
2021 Pakistan blackout,qwen_en,10,3,3.3333
2014 Bangladesh blackout,qwen_en,6,3,2.0
2015 Pakistan blackout,qwen_en,7,3,2.3333
2019 Java blackout,qwen_en,4,4,1.0
2005 Java–Bali blackout,qwen_en,12,3,4.0
2015 Turkey blackout,qwen_en,4,9,0.4444
2009 Brazil and Paraguay blackout,qwen_en,5,5,1.0
2012 India blackouts,qwen_es,4,10,0.4
2023 Pakistan blackout,qwen_es,4,9,0.4444
2022 Bangladesh blackout,qwen_es,5,3,1.6667
2021 Pakistan blackout,qwen_es,6,3,2.0
2014 Bangladesh blackout,qwen_es,6,3,2.0
2015 Pakistan blackout,qwen_es,2,3,0.6667
2019 Java blackout,qwen_es,4,4,1.0
2005 Java–Bali blackout,qwen_es,11,3,3.6667
2015 Turkey blackout,qwen_es,6,9,0.6667
2009 Brazil and Paraguay blackout,qwen_es,5,5,1.0
2012 India blackouts,llama_en,12,10,1.2
2023 Pakistan blackout,llama_en,6,9,0.6667
2022 Bangladesh blackout,llama_en,12,3,4.0
2021 Pakistan blackout,llama_en,11,3,3.6667
2014 Bangladesh blackout,llama_en,5,3,1.6667
2015 Pakistan blackout,llama_en,13,3,4.3333
2019 Java blackout,llama_en,9,4,2.25
2005 Java–Bali blackout,llama_en,9,3,3.0
2015 Turkey blackout,llama_en,9,9,1.0
2009 Brazil and Paraguay blackout,llama_en,8,5,1.6
2012 India blackouts,llama_es,12,10,1.2
2023 Pakistan blackout,llama_es,4,9,0.4444
2022 Bangladesh blackout,llama_es,6,3,2.0
2021 Pakistan blackout,llama_es,7,3,2.3333
2014 Bangladesh blackout,llama_es,8,3,2.6667
2015 Pakistan blackout,llama_es,9,3,3.0
2019 Java blackout,llama_es,13,4,3.25
2005 Java–Bali blackout,llama_es,9,3,3.0
2015 Turkey blackout,llama_es,8,9,0.8889
2009 Brazil and Paraguay blackout,llama_es,12,5,2.4
