event,model_lang,person,organization,location,country,date
7,gemma_en,1,2,1,1,1
1,gemma_en,0,4,3,1,2
3,gemma_en,0,3,0,1,1
3,gemma_en,0,2,0,1,1
2,gemma_en,0,2,0,1,2
4,gemma_en,0,3,4,2,1
3,gemma_en,0,2,2,1,2
5,gemma_en,0,1,2,1,1
4,gemma_en,0,4,4,1,2
4,gemma_en,0,0,0,2,1
3,gemma_es,0,4,0,1,1
5,gemma_es,0,3,1,1,2
1,gemma_es,1,1,1,1,2
1,gemma_es,1,2,1,1,2
2,gemma_es,0,0,0,1,2
4,gemma_es,0,2,3,1,1
1,gemma_es,1,2,0,0,1
1,gemma_es,0,3,7,1,1
8,gemma_es,0,2,0,2,1
3,gemma_es,0,1,0,3,1
0,qwen_en,1,2,3,1,2
0,qwen_en,0,1,5,1,2
1,qwen_en,0,2,4,1,1
1,qwen_en,0,3,2,1,3
0,qwen_en,0,3,1,1,1
1,qwen_en,0,1,1,1,3
0,qwen_en,0,0,2,1,1
1,qwen_en,0,7,2,1,1
0,qwen_en,0,0,2,1,1
0,qwen_en,0,2,0,2,1
1,qwen_es,0,0,0,1,2
0,qwen_es,0,0,0,2,2
1,qwen_es,0,2,0,1,1
1,qwen_es,0,1,2,1,1
1,qwen_es,0,2,1,1,1
0,qwen_es,0,0,0,1,1
1,qwen_es,0,1,0,0,2
2,qwen_es,0,0,5,3,1
1,qwen_es,0,3,0,1,1
0,qwen_es,0,0,0,3,2
2,llama_en,0,3,4,1,2
3,llama_en,1,0,0,1,1
3,llama_en,0,2,2,2,3
5,llama_en,0,3,0,1,2
0,llama_en,0,2,1,1,1
5,llama_en,0,4,0,1,3
0,llama_en,0,3,4,1,1
0,llama_en,0,3,4,1,1
1,llama_en,0,5,1,1,1
0,llama_en,0,2,1,3,2
1,llama_es,0,3,5,2,1
1,llama_es,0,1,0,1,1
2,llama_es,0,1,0,1,2
1,llama_es,0,2,0,3,1
2,llama_es,1,3,0,1,1
2,llama_es,1,3,1,1,1
1,llama_es,3,3,4,1,1
3,llama_es,0,1,2,1,2
1,llama_es,0,5,0,1,1
1,llama_es,0,2,6,2,1
