event,model_lang,person_model,person_gt,person_ratio,organization_model,organization_gt,organization_ratio,location_model,location_gt,location_ratio,country_model,country_gt,country_ratio,date_model,date_gt,date_ratio,event_model,event_gt,event_ratio
2012 India blackouts,gemma_en,1,0,,2,0,,1,1,1.0,1,1,1.0,1,7,0.1429,7,1,7.0
2023 Pakistan blackout,gemma_en,0,0,,4,0,,3,6,0.5,1,1,1.0,2,1,2.0,1,1,1.0
2022 Bangladesh blackout,gemma_en,0,0,,3,0,,0,0,,1,1,1.0,1,1,1.0,3,1,3.0
2021 Pakistan blackout,gemma_en,0,0,,2,0,,0,0,,1,1,1.0,1,1,1.0,3,1,3.0
2014 Bangladesh blackout,gemma_en,0,0,,2,0,,0,0,,1,1,1.0,2,1,2.0,2,1,2.0
2015 Pakistan blackout,gemma_en,0,0,,3,0,,4,0,,2,1,2.0,1,1,1.0,4,1,4.0
2019 Java blackout,gemma_en,0,0,,2,0,,2,1,2.0,1,0,,2,2,1.0,3,1,3.0
2005 Java–Bali blackout,gemma_en,0,0,,1,0,,2,2,1.0,1,0,,1,1,1.0,5,0,
2015 Turkey blackout,gemma_en,0,0,,4,2,2.0,4,2,2.0,1,3,0.3333,2,1,2.0,4,1,4.0
2009 Brazil and Paraguay blackout,gemma_en,0,0,,0,0,,0,0,,2,2,1.0,1,2,0.5,4,1,4.0
2012 India blackouts,gemma_es,0,0,,4,0,,0,1,0.0,1,1,1.0,1,7,0.1429,3,1,3.0
2023 Pakistan blackout,gemma_es,0,0,,3,0,,1,6,0.1667,1,1,1.0,2,1,2.0,5,1,5.0
2022 Bangladesh blackout,gemma_es,1,0,,1,0,,1,0,,1,1,1.0,2,1,2.0,1,1,1.0
2021 Pakistan blackout,gemma_es,1,0,,2,0,,1,0,,1,1,1.0,2,1,2.0,1,1,1.0
2014 Bangladesh blackout,gemma_es,0,0,,0,0,,0,0,,1,1,1.0,2,1,2.0,2,1,2.0
2015 Pakistan blackout,gemma_es,0,0,,2,0,,3,0,,1,1,1.0,1,1,1.0,4,1,4.0
2019 Java blackout,gemma_es,1,0,,2,0,,0,1,0.0,0,0,,1,2,0.5,1,1,1.0
2005 Java–Bali blackout,gemma_es,0,0,,3,0,,7,2,3.5,1,0,,1,1,1.0,1,0,
2015 Turkey blackout,gemma_es,0,0,,2,2,1.0,0,2,0.0,2,3,0.6667,1,1,1.0,8,1,8.0
2009 Brazil and Paraguay blackout,gemma_es,0,0,,1,0,,0,0,,3,2,1.5,1,2,0.5,3,1,3.0
2012 India blackouts,qwen_en,1,0,,2,0,,3,1,3.0,1,1,1.0,2,7,0.2857,0,1,0.0
2023 Pakistan blackout,qwen_en,0,0,,1,0,,5,6,0.8333,1,1,1.0,2,1,2.0,0,1,0.0
2022 Bangladesh blackout,qwen_en,0,0,,2,0,,4,0,,1,1,1.0,1,1,1.0,1,1,1.0
2021 Pakistan blackout,qwen_en,0,0,,3,0,,2,0,,1,1,1.0,3,1,3.0,1,1,1.0
2014 Bangladesh blackout,qwen_en,0,0,,3,0,,1,0,,1,1,1.0,1,1,1.0,0,1,0.0
2015 Pakistan blackout,qwen_en,0,0,,1,0,,1,0,,1,1,1.0,3,1,3.0,1,1,1.0
2019 Java blackout,qwen_en,0,0,,0,0,,2,1,2.0,1,0,,1,2,0.5,0,1,0.0
2005 Java–Bali blackout,qwen_en,0,0,,7,0,,2,2,1.0,1,0,,1,1,1.0,1,0,
2015 Turkey blackout,qwen_en,0,0,,0,2,0.0,2,2,1.0,1,3,0.3333,1,1,1.0,0,1,0.0
2009 Brazil and Paraguay blackout,qwen_en,0,0,,2,0,,0,0,,2,2,1.0,1,2,0.5,0,1,0.0
2012 India blackouts,qwen_es,0,0,,0,0,,0,1,0.0,1,1,1.0,2,7,0.2857,1,1,1.0
2023 Pakistan blackout,qwen_es,0,0,,0,0,,0,6,0.0,2,1,2.0,2,1,2.0,0,1,0.0
2022 Bangladesh blackout,qwen_es,0,0,,2,0,,0,0,,1,1,1.0,1,1,1.0,1,1,1.0
2021 Pakistan blackout,qwen_es,0,0,,1,0,,2,0,,1,1,1.0,1,1,1.0,1,1,1.0
2014 Bangladesh blackout,qwen_es,0,0,,2,0,,1,0,,1,1,1.0,1,1,1.0,1,1,1.0
2015 Pakistan blackout,qwen_es,0,0,,0,0,,0,0,,1,1,1.0,1,1,1.0,0,1,0.0
2019 Java blackout,qwen_es,0,0,,1,0,,0,1,0.0,0,0,,2,2,1.0,1,1,1.0
2005 Java–Bali blackout,qwen_es,0,0,,0,0,,5,2,2.5,3,0,,1,1,1.0,2,0,
2015 Turkey blackout,qwen_es,0,0,,3,2,1.5,0,2,0.0,1,3,0.3333,1,1,1.0,1,1,1.0
2009 Brazil and Paraguay blackout,qwen_es,0,0,,0,0,,0,0,,3,2,1.5,2,2,1.0,0,1,0.0
2012 India blackouts,llama_en,0,0,,3,0,,4,1,4.0,1,1,1.0,2,7,0.2857,2,1,2.0
2023 Pakistan blackout,llama_en,1,0,,0,0,,0,6,0.0,1,1,1.0,1,1,1.0,3,1,3.0
2022 Bangladesh blackout,llama_en,0,0,,2,0,,2,0,,2,1,2.0,3,1,3.0,3,1,3.0
2021 Pakistan blackout,llama_en,0,0,,3,0,,0,0,,1,1,1.0,2,1,2.0,5,1,5.0
2014 Bangladesh blackout,llama_en,0,0,,2,0,,1,0,,1,1,1.0,1,1,1.0,0,1,0.0
2015 Pakistan blackout,llama_en,0,0,,4,0,,0,0,,1,1,1.0,3,1,3.0,5,1,5.0
2019 Java blackout,llama_en,0,0,,3,0,,4,1,4.0,1,0,,1,2,0.5,0,1,0.0
2005 Java–Bali blackout,llama_en,0,0,,3,0,,4,2,2.0,1,0,,1,1,1.0,0,0,
2015 Turkey blackout,llama_en,0,0,,5,2,2.5,1,2,0.5,1,3,0.3333,1,1,1.0,1,1,1.0
2009 Brazil and Paraguay blackout,llama_en,0,0,,2,0,,1,0,,3,2,1.5,2,2,1.0,0,1,0.0
2012 India blackouts,llama_es,0,0,,3,0,,5,1,5.0,2,1,2.0,1,7,0.1429,1,1,1.0
2023 Pakistan blackout,llama_es,0,0,,1,0,,0,6,0.0,1,1,1.0,1,1,1.0,1,1,1.0
2022 Bangladesh blackout,llama_es,0,0,,1,0,,0,0,,1,1,1.0,2,1,2.0,2,1,2.0
2021 Pakistan blackout,llama_es,0,0,,2,0,,0,0,,3,1,3.0,1,1,1.0,1,1,1.0
2014 Bangladesh blackout,llama_es,1,0,,3,0,,0,0,,1,1,1.0,1,1,1.0,2,1,2.0
2015 Pakistan blackout,llama_es,1,0,,3,0,,1,0,,1,1,1.0,1,1,1.0,2,1,2.0
2019 Java blackout,llama_es,3,0,,3,0,,4,1,4.0,1,0,,1,2,0.5,1,1,1.0
2005 Java–Bali blackout,llama_es,0,0,,1,0,,2,2,1.0,1,0,,2,1,2.0,3,0,
2015 Turkey blackout,llama_es,0,0,,5,2,2.5,0,2,0.0,1,3,0.3333,1,1,1.0,1,1,1.0
2009 Brazil and Paraguay blackout,llama_es,0,0,,2,0,,6,0,,2,2,1.0,1,2,0.5,1,1,1.0
