event,model_lang,total_entities,person,organization,location,country,date
7,gemma_en,13,1,2,1,1,1
1,gemma_en,11,0,4,3,1,2
3,gemma_en,8,0,3,0,1,1
3,gemma_en,7,0,2,0,1,1
2,gemma_en,7,0,2,0,1,2
4,gemma_en,14,0,3,4,2,1
3,gemma_en,10,0,2,2,1,2
5,gemma_en,10,0,1,2,1,1
4,gemma_en,15,0,4,4,1,2
4,gemma_en,7,0,0,0,2,1
3,gemma_es,9,0,4,0,1,1
5,gemma_es,12,0,3,1,1,2
1,gemma_es,7,1,1,1,1,2
1,gemma_es,8,1,2,1,1,2
2,gemma_es,5,0,0,0,1,2
4,gemma_es,11,0,2,3,1,1
1,gemma_es,5,1,2,0,0,1
1,gemma_es,13,0,3,7,1,1
8,gemma_es,13,0,2,0,2,1
3,gemma_es,8,0,1,0,3,1
0,qwen_en,9,1,2,3,1,2
0,qwen_en,9,0,1,5,1,2
1,qwen_en,9,0,2,4,1,1
1,qwen_en,10,0,3,2,1,3
0,qwen_en,6,0,3,1,1,1
1,qwen_en,7,0,1,1,1,3
0,qwen_en,4,0,0,2,1,1
1,qwen_en,12,0,7,2,1,1
0,qwen_en,4,0,0,2,1,1
0,qwen_en,5,0,2,0,2,1
1,qwen_es,4,0,0,0,1,2
0,qwen_es,4,0,0,0,2,2
1,qwen_es,5,0,2,0,1,1
1,qwen_es,6,0,1,2,1,1
1,qwen_es,6,0,2,1,1,1
0,qwen_es,2,0,0,0,1,1
1,qwen_es,4,0,1,0,0,2
2,qwen_es,11,0,0,5,3,1
1,qwen_es,6,0,3,0,1,1
0,qwen_es,5,0,0,0,3,2
2,llama_en,12,0,3,4,1,2
3,llama_en,6,1,0,0,1,1
3,llama_en,12,0,2,2,2,3
5,llama_en,11,0,3,0,1,2
0,llama_en,5,0,2,1,1,1
5,llama_en,13,0,4,0,1,3
0,llama_en,9,0,3,4,1,1
0,llama_en,9,0,3,4,1,1
1,llama_en,9,0,5,1,1,1
0,llama_en,8,0,2,1,3,2
1,llama_es,12,0,3,5,2,1
1,llama_es,4,0,1,0,1,1
2,llama_es,6,0,1,0,1,2
1,llama_es,7,0,2,0,3,1
2,llama_es,8,1,3,0,1,1
2,llama_es,9,1,3,1,1,1
1,llama_es,13,3,3,4,1,1
3,llama_es,9,0,1,2,1,2
1,llama_es,8,0,5,0,1,1
1,llama_es,12,0,2,6,2,1
