event,model_lang,person,organization,location,country,date
1,gemma_en,0,1,4,9,1
1,gemma_en,0,3,2,1,1
1,gemma_en,0,1,2,3,1
3,gemma_en,0,1,6,1,1
1,gemma_en,0,1,2,1,1
6,gemma_en,0,3,3,2,2
2,gemma_en,0,5,3,1,1
4,gemma_en,0,2,6,2,1
0,gemma_en,0,1,3,1,1
0,gemma_en,0,1,2,1,1
2,gemma_es,1,0,2,12,1
2,gemma_es,0,1,2,1,2
2,gemma_es,0,2,3,1,1
3,gemma_es,0,1,4,1,2
2,gemma_es,0,0,2,1,1
3,gemma_es,0,1,2,1,2
2,gemma_es,0,2,4,2,2
3,gemma_es,0,5,2,2,1
4,gemma_es,0,2,4,1,1
0,gemma_es,0,1,1,1,1
1,qwen_en,0,0,4,4,1
2,qwen_en,0,2,3,1,2
1,qwen_en,0,1,6,1,1
3,qwen_en,0,0,4,1,1
1,qwen_en,0,1,3,3,1
1,qwen_en,0,0,10,3,1
2,qwen_en,0,0,2,1,1
0,qwen_en,0,2,3,2,2
2,qwen_en,0,2,6,1,1
2,qwen_en,0,0,4,1,4
1,qwen_es,0,1,4,7,2
1,qwen_es,0,1,2,1,2
2,qwen_es,0,0,2,1,1
0,qwen_es,0,0,6,1,1
1,qwen_es,0,0,2,3,2
2,qwen_es,0,0,4,1,1
1,qwen_es,0,2,6,1,1
0,qwen_es,0,0,3,3,3
1,qwen_es,0,1,4,1,1
1,qwen_es,0,1,1,1,1
2,llama_en,0,1,3,8,2
1,llama_en,0,1,3,1,1
1,llama_en,0,3,3,2,1
4,llama_en,0,2,7,1,2
0,llama_en,0,3,1,2,2
5,llama_en,0,3,3,1,2
1,llama_en,0,2,2,1,1
0,llama_en,0,3,1,3,2
1,llama_en,1,2,4,4,1
3,llama_en,0,2,3,1,2
1,llama_es,0,0,2,14,1
2,llama_es,0,1,3,1,1
0,llama_es,0,2,3,1,1
1,llama_es,0,1,3,1,2
0,llama_es,0,1,2,3,1
1,llama_es,0,5,4,5,2
1,llama_es,0,1,4,1,1
1,llama_es,0,1,2,2,2
0,llama_es,1,3,4,2,1
0,llama_es,0,0,2,1,1
