event,model_lang,person_model,person_gt,person_ratio,organization_model,organization_gt,organization_ratio,location_model,location_gt,location_ratio,country_model,country_gt,country_ratio,date_model,date_gt,date_ratio,event_model,event_gt,event_ratio
2004 Indian Ocean earthquake and tsunami,gemma_en,0,0,,1,1,1.0,4,9,0.4444,9,4,2.25,1,2,0.5,1,4,0.25
1976 Tangshan earthquake,gemma_en,0,0,,3,0,,2,2,1.0,1,1,1.0,1,2,0.5,1,1,1.0
1920 Haiyuan earthquake,gemma_en,0,0,,1,0,,2,5,0.4,3,2,1.5,1,2,0.5,1,3,0.3333
1923 Great Kantō earthquake,gemma_en,0,1,0.0,1,1,1.0,6,10,0.6,1,1,1.0,1,2,0.5,3,7,0.4286
1948 Ashgabat earthquake,gemma_en,0,0,,1,3,0.3333,2,1,2.0,1,1,1.0,1,2,0.5,1,0,
2011 Tōhoku earthquake and tsunami,gemma_en,0,0,,3,1,3.0,3,10,0.3,2,1,2.0,2,3,0.6667,6,6,1.0
1995 Great Hanshin earthquake,gemma_en,0,0,,5,0,,3,3,1.0,1,1,1.0,1,2,0.5,2,2,1.0
2023 Turkey–Syria earthquakes,gemma_en,0,0,,2,3,0.6667,6,6,1.0,2,4,0.5,1,4,0.25,4,7,0.5714
2008 Sichuan earthquake,gemma_en,0,0,,1,2,0.5,3,6,0.5,1,1,1.0,1,3,0.3333,0,3,0.0
2011 Christchurch earthquake,gemma_en,0,0,,1,1,1.0,2,7,0.2857,1,1,1.0,1,3,0.3333,0,2,0.0
2004 Indian Ocean earthquake and tsunami,gemma_es,1,0,,0,1,0.0,2,9,0.2222,12,4,3.0,1,2,0.5,2,4,0.5
1976 Tangshan earthquake,gemma_es,0,0,,1,0,,2,2,1.0,1,1,1.0,2,2,1.0,2,1,2.0
1920 Haiyuan earthquake,gemma_es,0,0,,2,0,,3,5,0.6,1,2,0.5,1,2,0.5,2,3,0.6667
1923 Great Kantō earthquake,gemma_es,0,1,0.0,1,1,1.0,4,10,0.4,1,1,1.0,2,2,1.0,3,7,0.4286
1948 Ashgabat earthquake,gemma_es,0,0,,0,3,0.0,2,1,2.0,1,1,1.0,1,2,0.5,2,0,
2011 Tōhoku earthquake and tsunami,gemma_es,0,0,,1,1,1.0,2,10,0.2,1,1,1.0,2,3,0.6667,3,6,0.5
1995 Great Hanshin earthquake,gemma_es,0,0,,2,0,,4,3,1.3333,2,1,2.0,2,2,1.0,2,2,1.0
2023 Turkey–Syria earthquakes,gemma_es,0,0,,5,3,1.6667,2,6,0.3333,2,4,0.5,1,4,0.25,3,7,0.4286
2008 Sichuan earthquake,gemma_es,0,0,,2,2,1.0,4,6,0.6667,1,1,1.0,1,3,0.3333,4,3,1.3333
2011 Christchurch earthquake,gemma_es,0,0,,1,1,1.0,1,7,0.1429,1,1,1.0,1,3,0.3333,0,2,0.0
2004 Indian Ocean earthquake and tsunami,qwen_en,0,0,,0,1,0.0,4,9,0.4444,4,4,1.0,1,2,0.5,1,4,0.25
1976 Tangshan earthquake,qwen_en,0,0,,2,0,,3,2,1.5,1,1,1.0,2,2,1.0,2,1,2.0
