event,model_lang,total_entities,person,organization,location,country,date
1,gemma_en,16,0,1,4,9,1
1,gemma_en,8,0,3,2,1,1
1,gemma_en,8,0,1,2,3,1
3,gemma_en,12,0,1,6,1,1
1,gemma_en,6,0,1,2,1,1
6,gemma_en,16,0,3,3,2,2
2,gemma_en,12,0,5,3,1,1
4,gemma_en,15,0,2,6,2,1
0,gemma_en,6,0,1,3,1,1
0,gemma_en,5,0,1,2,1,1
2,gemma_es,18,1,0,2,12,1
2,gemma_es,8,0,1,2,1,2
2,gemma_es,9,0,2,3,1,1
3,gemma_es,11,0,1,4,1,2
2,gemma_es,6,0,0,2,1,1
3,gemma_es,9,0,1,2,1,2
2,gemma_es,12,0,2,4,2,2
3,gemma_es,13,0,5,2,2,1
4,gemma_es,12,0,2,4,1,1
0,gemma_es,4,0,1,1,1,1
1,qwen_en,10,0,0,4,4,1
2,qwen_en,10,0,2,3,1,2
1,qwen_en,10,0,1,6,1,1
3,qwen_en,9,0,0,4,1,1
1,qwen_en,9,0,1,3,3,1
1,qwen_en,15,0,0,10,3,1
2,qwen_en,6,0,0,2,1,1
0,qwen_en,9,0,2,3,2,2
2,qwen_en,12,0,2,6,1,1
2,qwen_en,11,0,0,4,1,4
1,qwen_es,15,0,1,4,7,2
1,qwen_es,7,0,1,2,1,2
2,qwen_es,6,0,0,2,1,1
0,qwen_es,8,0,0,6,1,1
1,qwen_es,8,0,0,2,3,2
2,qwen_es,8,0,0,4,1,1
1,qwen_es,11,0,2,6,1,1
0,qwen_es,9,0,0,3,3,3
1,qwen_es,8,0,1,4,1,1
1,qwen_es,5,0,1,1,1,1
2,llama_en,16,0,1,3,8,2
1,llama_en,7,0,1,3,1,1
1,llama_en,10,0,3,3,2,1
4,llama_en,16,0,2,7,1,2
0,llama_en,8,0,3,1,2,2
5,llama_en,14,0,3,3,1,2
1,llama_en,7,0,2,2,1,1
0,llama_en,9,0,3,1,3,2
1,llama_en,13,1,2,4,4,1
3,llama_en,11,0,2,3,1,2
1,llama_es,18,0,0,2,14,1
2,llama_es,8,0,1,3,1,1
0,llama_es,7,0,2,3,1,1
1,llama_es,8,0,1,3,1,2
0,llama_es,7,0,1,2,3,1
1,llama_es,17,0,5,4,5,2
1,llama_es,8,0,1,4,1,1
1,llama_es,8,0,1,2,2,2
0,llama_es,11,1,3,4,2,1
0,llama_es,4,0,0,2,1,1
